airportname,latitude,longitude,count
Churchill Falls Airport,53.5619,-64.1064,1
Chuuk Intl,7.461869,151.843006,1
Ciampino,41.799361,12.594936,48
Cibao Intl,19.406092,-70.604689,3
Cincinnati Muni Lunken Fld,39.103333,-84.418611,2
Cincinnati Northern Kentucky Intl,39.048836,-84.667822,60
City,51.505278,0.055278,50
City Centre,43.627499,-79.396167,12
City Of Colorado Springs Muni,38.805805,-104.700778,6
City of Derry,55.042778,-7.161111,4
Ciudad del Este,-25.4555,-54.843592,2
Ciudad Obregon Intl,27.392639,-109.833111,2
Cleveland Hopkins Intl,41.411689,-81.849794,69
Cloncurry Airport,-20.6686,140.504,1
Cluj Napoca,46.785167,23.686167,15
Clyde River,70.486111,-68.516667,2
Co Ong Airport,8.731831,106.632589,1
Cochin,10.155556,76.391389,35
Coffman Cove Seaplane Base,56.014722,-132.833889,1
Coffs Harbour,-30.320556,153.116389,1
Coimbatore,11.030031,77.043383,9
Cold Bay,55.206061,-162.725436,2
Colonel Hill Airport,22.745561,-74.182353,1
Columbia Metropolitan,33.938833,-81.119528,10
Columbia Rgnl,38.818094,-92.219631,2
Comandante Espora,-38.724967,-62.169317,1
Comiso,37.0,14.6144,6
Comodoro Rivadavia,-45.785347,-67.465508,3
Comox,49.710833,-124.886667,3
Conakry,9.576889,-13.611961,6
Congonhas,-23.626692,-46.655375,43
Copiapo,-27.0,-70.0,2
Cork,51.841269,-8.491111,32
Coronel Francisco Secada Vignetta Intl,-3.784739,-73.308806,3
Corvo Airport,39.6715,-31.1136,1
Cote D\\'Azur,43.658411,7.215872,87
Cotopaxi International Airport,-0.5425,-78.3657,1
Cozumel Intl,20.522403,-86.925644,4
Craig Cove Airport,-16.265,167.924,2
Craig Seaplane Base,55.478889,-133.147778,2
Craiova,44.318139,23.888611,1
Crooked Creek Airport,61.867778,-158.135,1
Crown Point,11.149658,-60.832194,1
Culiacan Intl,24.764547,-107.474717,11
Cunnamulla Airport,-28.03,145.622,1
Cyril E King,18.337306,-64.973361,19
Dachuan Airport,31.3,107.5,6
Daegu Ab,35.894108,128.658856,1
Dakhla Airport,23.7183,-15.932,1
Dalaman,36.713056,28.7925,43
Dalat,11.75,108.367,3
Dali,25.649444,100.319444,4
Dallas Fort Worth Intl,32.896828,-97.037997,436
Dallas Love Fld,32.847111,-96.851778,31
Danang Intl,16.043917,108.19937,20
Dane Co Rgnl Truax Fld,43.139858,-89.337514,10
Dangriga Airport,16.966667,-88.216667,5
Daniel Oduber Quiros Intl,10.593289,-85.544408,10
Daniel Z Romualdez,11.227628,125.027758,1
Daru Airport,-9.08676,143.208,2
Darwin Intl,-12.4083333,130.87266,32
Datong Airport,40.0603,113.482,3
Dawadmi Domestic Airport,24.5,44.4,1
Dawei Airport,14.103886,98.203636,1
Dawson Creek,55.742333,-120.183,1
Dayong Airport,29.1028,110.443,11
Deadhorse,70.19475,-148.465167,3
Debrecen,47.488917,21.615333,1
Decatur,39.834564,-88.865689,1
Deer Lake,49.210833,-57.391388,4
Deering Airport,66.0696,-162.766,2
Dehradun,30.189689,78.180256,1
Del Caribe Intl Gen Santiago Marino,10.912926,-63.967581,14
Del Norte County Airport,41.7802,-124.237,1
Deline,65.1833333,-125.41666667,1
Denver Intl,39.861656,-104.673178,337
Depati Amir,-2.1622,106.139064,3
Deputado Luis Eduardo Magalhaes,-12.910994,-38.331044,46
Dera Ghazi Khan Airport,29.961011,70.485925,1
Dera Ismael Khan Airport,31.909422,70.896639,1
Des Moines Intl,41.533972,-93.663083,19
Detroit Metro Wayne Co,42.212444,-83.353389,193
Devi Ahilyabai Holkar,22.721786,75.801086,11
Dibrugarh Airport,27.4839,95.0169,2
Diego Aracena Intl,-20.535222,-70.181275,6
Dillon's Bay Airport,-18.7694,169.001,1
Dimapur Airport,25.8839,93.7711,1
Dionysios Solomos,37.750853,20.88425,4
Diori Hamani,13.481547,2.183614,8
Diosdado Macapagal International,15.185833,120.560278,6
Dipolog,8.601261,123.334481,2
Diqing Airport,27.7936,99.6772,4
Dire Dawa Intl,9.6247,41.854203,2
Diwopu,43.907106,87.474244,127
Diyarbakir,37.893897,40.201019,3
Dnipropetrovsk Intl,48.357222,35.100556,8
Dodge City Regional Airport,37.7634,-99.9656,3
Doha Intl,25.261125,51.565056,148
Domododevo,55.408611,37.906111,254
Don Miguel Hidalgo Y Costilla Intl,20.5218,-103.311167,78
Don Muang Intl,13.912583,100.60675,60
Donegal Airport,55.044192,-8.341,1
Donetsk Intl,48.073611,37.739722,4
Dong Hoi,17.515,106.590556,1
